Tweet,Info
Cólera,2431
Cólera,2432
Tristeza,2433
NoEmocion,2434
NoEmocion,2435
Felicidad,2436
Cólera,2437
Cólera,2438
Cólera,2439
NoEmocion,2440
NoEmocion,2441
Tristeza,2442
Felicidad,2443
Cólera,2444
NoEmocion,2445
Cólera,2446
Cólera,2447
Tristeza,2448
Cólera,2449
NoEmocion,2450
Felicidad,2451
NoEmocion,2452
Felicidad,2453
Cólera,2454
NoEmocion,2455
Cólera,2456
NoEmocion,2457
NoEmocion,2458
Cólera,2459
Cólera,2460
NoEmocion,2461
NoEmocion,2462
NoEmocion,2463
Cólera,2464
Cólera,2465
Cólera,2466
Cólera,2467
Felicidad,2468
NoEmocion,2469
NoEmocion,2470
NoEmocion,2471
Sorpresa,2472
Cólera,2473
Felicidad,2474
Cólera,2475
NoEmocion,2476
NoEmocion,2477
NoEmocion,2478
NoEmocion,2479
Cólera,2480
Cólera,2481
Felicidad,2482
NoEmocion,2483
Cólera,2484
NoEmocion,2485
NoEmocion,2486
Felicidad,2487
NoEmocion,2488
Cólera,2489
NoEmocion,2490
Felicidad,2491
NoEmocion,2492
Tristeza,2493
NoEmocion,2494
Felicidad,2495
Felicidad,2496
NoEmocion,2497
NoEmocion,2498
Cólera,2499
NoEmocion,2500
NoEmocion,2501
NoEmocion,2502
NoEmocion,2503
Cólera,2504
Cólera,2505
NoEmocion,2506
NoEmocion,2507
Tristeza,2508
Felicidad,2509
Tristeza,2510
Tristeza,2511
NoEmocion,2512
NoEmocion,2513
NoEmocion,2514
NoEmocion,2515
Asco,2516
NoEmocion,2517
NoEmocion,2518
Sorpresa,2519
Sorpresa,2520
NoEmocion,2521
Felicidad,2522
NoEmocion,2523
NoEmocion,2524
NoEmocion,2525
Cólera,2526
Cólera,2527
Tristeza,2528
Tristeza,2529
Felicidad,2530
Tristeza,2531
Tristeza,2532
NoEmocion,2533
Cólera,2534
NoEmocion,2535
NoEmocion,2536
Cólera,2537
Tristeza,2538
Cólera,2539
Felicidad,2540
Cólera,2541
Sorpresa,2542
Cólera,2543
NoEmocion,2544
NoEmocion,2545
Felicidad,2546
Felicidad,2547
NoEmocion,2548
Cólera,2549
NoEmocion,2550
Tristeza,2551
NoEmocion,2552
Tristeza,2553
Sorpresa,2554
NoEmocion,2555
Cólera,2556
Felicidad,2557
Felicidad,2558
NoEmocion,2559
NoEmocion,2560
Cólera,2561
NoEmocion,2562
Tristeza,2563
Tristeza,2564
Cólera,2565
Cólera,2566
NoEmocion,2567
NoEmocion,2568
Cólera,2569
Cólera,2570
Tristeza,2571
Sorpresa,2572
Tristeza,2573
Cólera,2574
Cólera,2575
Sorpresa,2576
Tristeza,2577
Tristeza,2578
Tristeza,2579
NoEmocion,2580
Tristeza,2581
NoEmocion,2582
Tristeza,2583
Tristeza,2584
NoEmocion,2585
NoEmocion,2586
NoEmocion,2587
Sorpresa,2588
Cólera,2589
NoEmocion,2590
Cólera,2591
Cólera,2592
NoEmocion,2593
Tristeza,2594
NoEmocion,2595
NoEmocion,2596
Sorpresa,2597
Felicidad,2598
NoEmocion,2599
NoEmocion,2600
NoEmocion,2601
NoEmocion,2602
Cólera,2603
Felicidad,2604
NoEmocion,2605
NoEmocion,2606
Felicidad,2607
NoEmocion,2608
NoEmocion,2609
Cólera,2610
Cólera,2611
NoEmocion,2612
Cólera,2613
Sorpresa,2614
Felicidad,2615
NoEmocion,2616
NoEmocion,2617
NoEmocion,2618
NoEmocion,2619
Cólera,2620
NoEmocion,2621
NoEmocion,2622
NoEmocion,2623
NoEmocion,2624
Asco,2625
NoEmocion,2626
Tristeza,2627
Asco,2628
Sorpresa,2629
NoEmocion,2630
NoEmocion,2631
NoEmocion,2632
NoEmocion,2633
NoEmocion,2634
NoEmocion,2635
NoEmocion,2636
NoEmocion,2637
Cólera,2638
NoEmocion,2639
NoEmocion,2640
Cólera,2641
NoEmocion,2642
NoEmocion,2643
NoEmocion,2644
NoEmocion,2645
Felicidad,2646
Asco,2647
NoEmocion,2648
NoEmocion,2649
NoEmocion,2650
NoEmocion,2651
NoEmocion,2652
Tristeza,2653
NoEmocion,2654
Felicidad,2655
NoEmocion,2656
NoEmocion,2657
NoEmocion,2658
Tristeza,2659
Cólera,2660
NoEmocion,2661
NoEmocion,2662
Cólera,2663
NoEmocion,2664
NoEmocion,2665
Felicidad,2666
NoEmocion,2667
NoEmocion,2668
NoEmocion,2669
NoEmocion,2670
Tristeza,2671
Tristeza,2672
Tristeza,2673
NoEmocion,2674
NoEmocion,2675
NoEmocion,2676
NoEmocion,2677
NoEmocion,2678
NoEmocion,2679
NoEmocion,2680
Cólera,2681
NoEmocion,2682
NoEmocion,2683
NoEmocion,2684
NoEmocion,2685
NoEmocion,2686
Felicidad,2687
NoEmocion,2688
NoEmocion,2689
NoEmocion,2690
NoEmocion,2691
NoEmocion,2692
NoEmocion,2693
NoEmocion,2694
Felicidad,2695
Felicidad,2696
NoEmocion,2697
Felicidad,2698
NoEmocion,2699
Tristeza,2700
NoEmocion,2701
NoEmocion,2702
NoEmocion,2703
NoEmocion,2704
Tristeza,2705
NoEmocion,2706
NoEmocion,2707
NoEmocion,2708
NoEmocion,2709
NoEmocion,2710
NoEmocion,2711
Sorpresa,2712
NoEmocion,2713
NoEmocion,2714
NoEmocion,2715
NoEmocion,2716
NoEmocion,2717
NoEmocion,2718
Cólera,2719
Cólera,2720
NoEmocion,2721
NoEmocion,2722
NoEmocion,2723
NoEmocion,2724
NoEmocion,2725
NoEmocion,2726
NoEmocion,2727
Felicidad,2728
Cólera,2729
NoEmocion,2730
NoEmocion,2731
NoEmocion,2732
NoEmocion,2733
NoEmocion,2734
NoEmocion,2735
Tristeza,2736
Cólera,2737
Cólera,2738
NoEmocion,2739
NoEmocion,2740
Cólera,2741
Felicidad,2742
NoEmocion,2743
NoEmocion,2744
NoEmocion,2745
NoEmocion,2746
Cólera,2747
Sorpresa,2748
NoEmocion,2749
NoEmocion,2750
Cólera,2751
NoEmocion,2752
Tristeza,2753
NoEmocion,2754
NoEmocion,2755
Felicidad,2756
NoEmocion,2757
NoEmocion,2758
NoEmocion,2759
NoEmocion,2760
Sorpresa,2761
Cólera,2762
Sorpresa,2763
NoEmocion,2764
NoEmocion,2765
Tristeza,2766
NoEmocion,2767
NoEmocion,2768
NoEmocion,2769
NoEmocion,2770
Cólera,2771
NoEmocion,2772
NoEmocion,2773
Tristeza,2774
Tristeza,2775
NoEmocion,2776
Cólera,2777
Cólera,2778
Tristeza,2779
Cólera,2780
Cólera,2781
Cólera,2782
Cólera,2783
NoEmocion,2784
NoEmocion,2785
Cólera,2786
NoEmocion,2787
Tristeza,2788
NoEmocion,2789
NoEmocion,2790
NoEmocion,2791
NoEmocion,2792
NoEmocion,2793
NoEmocion,2794
NoEmocion,2795
NoEmocion,2796
NoEmocion,2797
NoEmocion,2798
Felicidad,2799
NoEmocion,2800
NoEmocion,2801
Tristeza,2802
Cólera,2803
Sorpresa,2804
Cólera,2805
NoEmocion,2806
NoEmocion,2807
NoEmocion,2808
Tristeza,2809
Tristeza,2810
NoEmocion,2811
NoEmocion,2812
NoEmocion,2813
NoEmocion,2814
NoEmocion,2815
Tristeza,2816
Felicidad,2817
Felicidad,2818
Tristeza,2819
Cólera,2820
NoEmocion,2821
NoEmocion,2822
Cólera,2823
Cólera,2824
Cólera,2825
Cólera,2826
NoEmocion,2827
NoEmocion,2828
Felicidad,2829
NoEmocion,2830
NoEmocion,2831
Cólera,2832
Cólera,2833
Cólera,2834
NoEmocion,2835
Tristeza,2836
Asco,2837
Felicidad,2838
Tristeza,2839
NoEmocion,2840
Tristeza,2841
NoEmocion,2842
Cólera,2843
NoEmocion,2844
NoEmocion,2845
Cólera,2846
Cólera,2847
Cólera,2848
Tristeza,2849
Tristeza,2850
Cólera,2851
NoEmocion,2852
Felicidad,2853
Cólera,2854
Cólera,2855
Tristeza,2856
Tristeza,2857
NoEmocion,2858
Cólera,2859
Cólera,2860
Cólera,2861
NoEmocion,2862
NoEmocion,2863
Cólera,2864
Cólera,2865
Tristeza,2866
Cólera,2867
Felicidad,2868
NoEmocion,2869
NoEmocion,2870
NoEmocion,2871
NoEmocion,2872
Cólera,2873
NoEmocion,2874
NoEmocion,2875
NoEmocion,2876
Tristeza,2877
Tristeza,2878
NoEmocion,2879
NoEmocion,2880
NoEmocion,2881
NoEmocion,2882
Felicidad,2883
Tristeza,2884
Cólera,2885
Cólera,2886
Cólera,2887
NoEmocion,2888
NoEmocion,2889
NoEmocion,2890
NoEmocion,2891
NoEmocion,2892
NoEmocion,2893
NoEmocion,2894
NoEmocion,2895
NoEmocion,2896
Tristeza,2897
NoEmocion,2898
Tristeza,2899
Tristeza,2900
NoEmocion,2901
Cólera,2902
Felicidad,2903
Tristeza,2904
Tristeza,2905
Tristeza,2906
NoEmocion,2907
NoEmocion,2908
NoEmocion,2909
Cólera,2910
Cólera,2911
Cólera,2912
Tristeza,2913
NoEmocion,2914
NoEmocion,2915
NoEmocion,2916
Felicidad,2917
Cólera,2918
NoEmocion,2919
NoEmocion,2920
NoEmocion,2921
Cólera,2922
Felicidad,2923
Felicidad,2924
NoEmocion,2925
Cólera,2926
Tristeza,2927
Cólera,2928
NoEmocion,2929
Tristeza,2930
Tristeza,2931
NoEmocion,2932
Tristeza,2933
Cólera,2934
NoEmocion,2935
NoEmocion,2936
NoEmocion,2937
Tristeza,2938
Cólera,2939
Cólera,2940
NoEmocion,2941
Tristeza,2942
Cólera,2943
NoEmocion,2944
Sorpresa,2945
NoEmocion,2946
Cólera,2947
Felicidad,2948
NoEmocion,2949
Cólera,2950
Tristeza,2951
Cólera,2952
Tristeza,2953
Cólera,2954
NoEmocion,2955
NoEmocion,2956
NoEmocion,2957
NoEmocion,2958
NoEmocion,2959
Tristeza,2960
Tristeza,2961
NoEmocion,2962
Cólera,2963
Cólera,2964
Cólera,2965
NoEmocion,2966
NoEmocion,2967
Cólera,2968
Cólera,2969
NoEmocion,2970
Felicidad,2971
Felicidad,2972
NoEmocion,2973
NoEmocion,2974
Cólera,2975
Cólera,2976
Cólera,2977
NoEmocion,2978
NoEmocion,2979
Tristeza,2980
Tristeza,2981
NoEmocion,2982
NoEmocion,2983
Cólera,2984
Cólera,2985
NoEmocion,2986
Cólera,2987
NoEmocion,2988
Cólera,2989
Tristeza,2990
NoEmocion,2991
NoEmocion,2992
Tristeza,2993
Cólera,2994
Sorpresa,2995
Tristeza,2996
Cólera,2997
NoEmocion,2998
NoEmocion,2999
NoEmocion,3000
NoEmocion,3001
NoEmocion,3002
Tristeza,3003
Cólera,3004
NoEmocion,3005
Cólera,3006
NoEmocion,3007
NoEmocion,3008
Felicidad,3009
NoEmocion,3010
NoEmocion,3011
NoEmocion,3012
Felicidad,3013
Felicidad,3014
Cólera,3015
NoEmocion,3016
NoEmocion,3017
NoEmocion,3018
Cólera,3019
NoEmocion,3020
Cólera,3021
NoEmocion,3022
NoEmocion,3023
NoEmocion,3024
Cólera,3025
Tristeza,3026
Cólera,3027
NoEmocion,3028
Felicidad,3029
NoEmocion,3030
NoEmocion,3031
Felicidad,3032
NoEmocion,3033
Tristeza,3034
Cólera,3035
Cólera,3036
Felicidad,3037
Felicidad,3038
Tristeza,3039
Cólera,3040
NoEmocion,3041
NoEmocion,3042
Felicidad,3043
Cólera,3044
Cólera,3045
NoEmocion,3046
Cólera,3047
Cólera,3048
Cólera,3049
Tristeza,3050
NoEmocion,3051
NoEmocion,3052
NoEmocion,3053
NoEmocion,3054
Cólera,3055
Cólera,3056
Cólera,3057
NoEmocion,3058
Cólera,3059
Tristeza,3060
Cólera,3061
Cólera,3062
Cólera,3063
Cólera,3064
Tristeza,3065
Tristeza,3066
Cólera,3067
NoEmocion,3068
Cólera,3069
NoEmocion,3070
NoEmocion,3071
NoEmocion,3072
Cólera,3073
Cólera,3074
NoEmocion,3075
NoEmocion,3076
NoEmocion,3077
NoEmocion,3078
Cólera,3079
NoEmocion,3080
NoEmocion,3081
Felicidad,3082
NoEmocion,3083
NoEmocion,3084
NoEmocion,3085
NoEmocion,3086
NoEmocion,3087
Tristeza,3088
Cólera,3089
Cólera,3090
Cólera,3091
Tristeza,3092
Tristeza,3093
NoEmocion,3094
NoEmocion,3095
Felicidad,3096
NoEmocion,3097
NoEmocion,3098
NoEmocion,3099
Cólera,3100
Cólera,3101
Cólera,3102
NoEmocion,3103
NoEmocion,3104
NoEmocion,3105
NoEmocion,3106
NoEmocion,3107
NoEmocion,3108
Tristeza,3109
Tristeza,3110
NoEmocion,3111
NoEmocion,3112
NoEmocion,3113
Cólera,3114
NoEmocion,3115
Felicidad,3116
Felicidad,3117
NoEmocion,3118
NoEmocion,3119
Cólera,3120
Cólera,3121
NoEmocion,3122
NoEmocion,3123
NoEmocion,3124
Tristeza,3125
Cólera,3126
NoEmocion,3127
Tristeza,3128
Felicidad,3129
Felicidad,3130
NoEmocion,3131
NoEmocion,3132
NoEmocion,3133
NoEmocion,3134
NoEmocion,3135
Tristeza,3136
NoEmocion,3137
NoEmocion,3138
NoEmocion,3139
NoEmocion,3140
NoEmocion,3141
Cólera,3142
NoEmocion,3143
Cólera,3144
Felicidad,3145
NoEmocion,3146
NoEmocion,3147
NoEmocion,3148
NoEmocion,3149
Tristeza,3150
Cólera,3151
Cólera,3152
Cólera,3153
Cólera,3154
Sorpresa,3155
Tristeza,3156
Cólera,3157
NoEmocion,3158
NoEmocion,3159
NoEmocion,3160
NoEmocion,3161
Tristeza,3162
Cólera,3163
NoEmocion,3164
NoEmocion,3165
NoEmocion,3166
NoEmocion,3167
NoEmocion,3168
Felicidad,3169
Tristeza,3170
Cólera,3171
NoEmocion,3172
Tristeza,3173
NoEmocion,3174
Cólera,3175
Cólera,3176
NoEmocion,3177
Felicidad,3178
NoEmocion,3179
NoEmocion,3180
NoEmocion,3181
NoEmocion,3182
Felicidad,3183
NoEmocion,3184
NoEmocion,3185
NoEmocion,3186
NoEmocion,3187
NoEmocion,3188
Miedo,3189
NoEmocion,3190
NoEmocion,3191
Tristeza,3192
NoEmocion,3193
Tristeza,3194
Tristeza,3195
Tristeza,3196
Cólera,3197
NoEmocion,3198
NoEmocion,3199
NoEmocion,3200
NoEmocion,3201
Cólera,3202
NoEmocion,3203
